Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Khammam,Konijerla,0.0,10.7,27.1,30.4,99.7,0.0,8.0
2019-01-02,Khammam,Konijerla,0.0,11.1,32.1,30.5,99.8,0.0,8.7
2019-01-03,Khammam,Konijerla,0.0,12.9,32.1,39.5,99.9,0.0,6.5
2019-01-04,Khammam,Konijerla,0.0,13.2,29.9,36.5,96.8,0.0,3.2
2019-01-05,Khammam,Konijerla,0.0,16.7,29.5,40.5,96.3,0.0,4.5
2019-01-06,Khammam,Konijerla,0.0,17.2,29.0,45.6,99.9,0.0,13.0
2019-01-07,Khammam,Konijerla,0.0,15.0,28.9,48.7,99.9,0.0,12.1
2019-01-08,Khammam,Konijerla,0.0,14.5,32.1,37.8,99.9,0.0,6.6
2019-01-09,Khammam,Konijerla,0.0,11.4,32.1,40.0,99.9,0.0,6.0
2019-01-10,Khammam,Konijerla,0.0,13.7,32.1,34.1,99.9,0.0,11.2
2019-01-11,Khammam,Konijerla,0.0,16.5,32.5,37.3,99.9,0.0,7.5
2019-01-12,Khammam,Konijerla,0.0,17.2,32.5,49.8,99.9,0.0,9.0
2019-01-13,Khammam,Konijerla,0.0,21.1,32.1,55.0,99.9,0.0,10.7
2019-01-14,Khammam,Konijerla,0.0,18.1,32.2,54.6,99.9,0.0,11.3
2019-01-15,Khammam,Konijerla,0.0,19.3,33.0,50.9,99.9,0.0,9.6
2019-01-16,Khammam,Konijerla,0.0,15.6,32.2,52.8,99.9,0.0,8.1
2019-01-17,Khammam,Konijerla,0.0,16.4,32.8,49.4,99.9,0.0,9.2
2019-01-18,Khammam,Konijerla,0.0,19.3,32.1,49.2,99.9,0.0,4.4
2019-01-19,Khammam,Konijerla,0.0,18.6,34.6,43.1,99.9,0.0,4.0
2019-01-20,Khammam,Konijerla,0.0,15.2,34.6,46.8,99.9,0.0,4.8
2019-01-21,Khammam,Konijerla,0.0,17.3,34.6,41.4,99.9,0.0,5.7
2019-01-22,Khammam,Konijerla,0.0,15.6,32.5,54.1,99.9,0.0,8.4
2019-01-23,Khammam,Konijerla,0.0,19.3,32.1,51.9,99.9,0.0,13.8
2019-01-24,Khammam,Konijerla,0.0,21.3,34.6,44.3,99.9,0.0,11.9
2019-01-25,Khammam,Konijerla,0.0,21.8,32.4,46.8,99.9,0.0,10.8
2019-01-26,Khammam,Konijerla,0.0,22.7,32.1,63.4,99.9,0.0,11.4
2019-01-27,Khammam,Konijerla,0.0,22.0,30.9,63.4,99.9,0.0,10.0
2019-01-28,Khammam,Konijerla,56.8,20.4,32.1,67.2,99.9,0.0,3.9
2019-01-29,Khammam,Konijerla,0.0,18.8,27.3,81.8,99.9,0.0,10.1
2019-01-30,Khammam,Konijerla,0.0,12.2,32.1,39.1,97.8,0.0,8.4
2019-01-31,Khammam,Konijerla,0.0,16.3,32.1,39.1,99.9,0.0,11.2
2019-02-01,Khammam,Konijerla,0.0,19.7,32.2,54.7,99.9,0.0,9.9
2019-02-02,Khammam,Konijerla,0.0,17.0,32.4,41.7,99.9,0.0,7.7
2019-02-03,Khammam,Konijerla,0.0,20.2,32.1,45.3,99.9,0.0,8.0
2019-02-04,Khammam,Konijerla,0.0,17.7,33.3,54.8,99.9,0.0,7.1
2019-02-05,Khammam,Konijerla,0.0,16.7,34.6,36.5,99.9,0.0,12.0
2019-02-06,Khammam,Konijerla,0.0,16.9,34.6,43.1,99.9,0.0,8.9
2019-02-07,Khammam,Konijerla,0.0,21.1,34.6,47.3,99.9,0.0,9.6
2019-02-08,Khammam,Konijerla,0.0,24.2,33.1,54.8,99.9,0.0,13.2
2019-02-09,Khammam,Konijerla,0.0,24.4,34.6,54.0,99.9,0.0,10.7
2019-02-10,Khammam,Konijerla,0.0,20.3,34.6,39.2,99.9,0.0,10.6
2019-02-11,Khammam,Konijerla,0.0,24.2,34.8,41.7,99.9,0.0,10.8
2019-02-12,Khammam,Konijerla,0.0,22.8,34.6,51.1,99.9,0.0,14.3
2019-02-13,Khammam,Konijerla,0.0,21.8,34.7,46.2,99.9,0.0,11.1
2019-02-14,Khammam,Konijerla,0.0,20.3,34.6,43.9,99.9,0.0,9.0
2019-02-15,Khammam,Konijerla,0.0,20.3,35.7,39.5,99.9,0.0,7.4
2019-02-16,Khammam,Konijerla,0.0,23.3,35.6,42.2,99.9,0.0,12.9
2019-02-17,Khammam,Konijerla,0.0,22.2,34.8,54.5,99.9,0.0,11.4
2019-02-18,Khammam,Konijerla,0.0,25.2,35.3,42.6,99.9,0.0,9.9
2019-02-19,Khammam,Konijerla,0.0,24.8,35.3,45.0,99.9,0.0,9.3
2019-02-20,Khammam,Konijerla,0.0,26.1,35.8,55.2,99.9,0.0,12.0
2019-02-21,Khammam,Konijerla,0.0,23.0,35.4,50.9,99.9,0.0,10.7
2019-02-22,Khammam,Konijerla,0.0,21.8,35.3,46.6,99.9,0.0,11.1
2019-02-23,Khammam,Konijerla,0.0,20.2,37.4,31.8,97.9,0.0,8.4
2019-02-24,Khammam,Konijerla,0.0,19.8,37.7,31.0,96.7,0.0,8.5
2019-02-25,Khammam,Konijerla,0.0,22.8,36.8,29.1,99.9,0.0,11.1
2019-02-26,Khammam,Konijerla,0.0,20.1,35.5,24.6,99.9,0.0,8.7
2019-02-27,Khammam,Konijerla,0.0,21.0,35.6,47.2,99.9,0.0,14.4
2019-02-28,Khammam,Konijerla,0.0,23.3,35.0,44.4,99.9,0.0,14.1
2019-03-01,Khammam,Konijerla,4.3,21.4,35.8,52.0,99.9,0.0,10.2
2019-03-02,Khammam,Konijerla,0.0,22.5,35.8,55.7,100.0,0.0,11.9
2019-03-03,Khammam,Konijerla,0.0,22.3,35.1,60.2,99.9,0.0,11.7
2019-03-04,Khammam,Konijerla,0.0,22.6,35.5,47.1,99.9,0.0,12.6
2019-03-05,Khammam,Konijerla,0.0,23.9,37.2,55.4,99.9,0.0,14.3
2019-03-06,Khammam,Konijerla,0.0,23.9,37.3,43.2,99.9,0.0,13.7
2019-03-07,Khammam,Konijerla,0.0,23.9,36.8,31.2,99.9,0.0,11.9
2019-03-08,Khammam,Konijerla,0.0,23.3,37.2,47.4,99.9,0.0,8.3
2019-03-09,Khammam,Konijerla,0.0,23.3,37.5,43.0,99.9,0.0,8.1
2019-03-10,Khammam,Konijerla,0.0,22.7,37.8,45.3,99.9,0.0,14.5
